rb_id,player_name,team,season,week,rushing_yards,attempts,offense_pct,opponent,opponent_rush_defense_rank,rb_rush_yards_last5,rb_rush_attempts_last5,rb_injury_status,is_dome,rest_advantage,spread_line,total_line
00-0033699,Austin Ekeler,LAC,2021,8,64.0,11,0.75,NE,11.0,59.8,11.6,1,1,7,3.5,50.5
00-0033893,Dalvin Cook,MIN,2021,8,78.0,18,0.71,DAL,1.0,110.66666666666667,23.666666666666668,0,1,0,4.5,49.5
00-0033906,Alvin Kamara,NO,2021,8,61.0,19,0.67,TB,4.0,67.2,18.8,0,1,-1,-4.0,48.5
00-0032972,Devontae Booker,NYG,2021,8,60.0,15,0.93,KC,2.0,44.666666666666664,14.0,0,0,0,-10.5,53.0
00-0036924,Michael Carter,NYJ,2021,8,77.0,15,0.7,CIN,7.0,37.0,11.0,0,0,0,-11.5,43.5
00-0036893,Najee Harris,PIT,2021,8,91.0,26,0.84,CLE,3.0,68.6,17.2,0,0,4,-5.5,43.0
00-0036567,Elijah Mitchell,SF,2021,8,137.0,18,0.64,CHI,5.0,74.0,15.75,0,0,0,4.5,40.0
00-0033856,Leonard Fournette,TB,2021,8,26.0,8,0.61,NO,8.0,68.0,15.75,0,1,1,4.0,48.5
00-0032764,Derrick Henry,TEN,2021,8,68.0,28,0.74,IND,16.0,130.8,28.2,0,0,0,-3.0,51.0
00-0033553,James Conner,ARI,2021,9,96.0,21,0.77,SF,7.0,,,0,0,3,-5.5,44.5
00-0035250,Devin Singletary,BUF,2021,9,16.0,6,0.72,JAX,12.0,77.0,12.0,0,0,0,14.5,48.0
00-0035685,David Montgomery,CHI,2021,9,63.0,13,0.85,PIT,3.0,67.0,17.666666666666668,0,0,0,-7.0,40.0
00-0033897,Joe Mixon,CIN,2021,9,64.0,13,0.63,CLE,4.0,70.6,17.2,0,0,0,2.5,47.5
00-0033293,Aaron Jones,GB,2021,9,53.0,12,0.63,KC,2.0,62.2,13.8,0,0,4,-7.0,48.0
00-0036223,Jonathan Taylor,IND,2021,9,172.0,19,0.69,NYJ,5.0,107.33333333333333,16.0,0,1,0,10.5,46.0
00-0031045,Carlos Hyde,JAX,2021,9,67.0,21,0.79,BUF,11.0,32.0,9.0,0,0,0,-14.5,48.0
00-0035664,Darrell Henderson,LA,2021,9,55.0,11,0.6,TEN,8.0,76.8,16.2,0,1,0,7.0,53.5
00-0033699,Austin Ekeler,LAC,2021,9,59.0,17,0.67,PHI,10.0,61.8,12.0,0,0,0,1.0,49.5
00-0035311,Myles Gaskin,MIA,2021,9,34.0,20,0.72,HOU,15.0,39.0,8.333333333333334,0,0,0,4.0,45.0
00-0033893,Dalvin Cook,MIN,2021,9,110.0,17,0.8,BAL,1.0,102.5,22.25,0,0,-7,-7.5,51.0
00-0033906,Alvin Kamara,NO,2021,9,50.0,13,0.68,ATL,6.0,78.4,21.0,0,1,0,7.0,43.0
